260,427,21,28
261,426,21,28
262,426,21,28
263,426,21,28
265,426,20,28
266,426,20,28
267,426,21,28
268,426,21,28
270,426,20,28
271,426,20,28
272,426,20,28
274,426,19,28
275,426,20,28
276,426,20,28
277,426,20,28
279,426,19,28
280,426,19,28
281,426,19,28
283,426,19,28
283,426,19,27
284,426,19,27
285,426,19,27
286,426,18,27
286,426,19,27
287,426,19,27
288,426,18,27
289,426,18,27
290,426,18,27
290,426,18,27
291,426,18,27
292,426,18,27
293,426,17,27
294,426,17,27
294,426,18,27
295,426,17,27
296,426,17,27
297,426,17,27
298,426,16,27
298,426,17,27
299,426,17,27
300,426,16,27
301,426,16,27
302,426,16,27
302,426,17,27
303,426,17,27
304,426,17,27
305,426,17,28
305,426,18,28
306,427,18,27
307,427,18,27
308,427,18,28
308,427,19,28
309,427,19,28
310,427,19,28
311,428,19,28
311,428,19,28
312,428,18,28
312,429,19,28
313,429,18,28
313,430,19,28
314,430,18,28
314,431,19,28
315,431,18,28
315,431,19,28
316,432,18,28
316,432,19,28
317,433,18,28
317,433,19,28
318,434,18,28
318,434,19,28
319,434,18,28
319,435,19,28
320,435,18,28
320,436,19,28
321,436,18,28
321,437,19,28
322,437,18,28
323,438,18,28
323,438,18,28
324,438,18,28
325,438,17,28
325,438,18,28
326,438,18,28
327,438,17,28
327,438,18,28
328,438,17,28
329,438,17,28
329,438,18,28
330,438,17,28
331,439,17,28
332,439,16,28
332,439,17,28
333,439,17,28
334,439,16,28
334,439,17,28
335,439,16,28
336,439,16,28
336,439,17,28
337,439,16,28
338,439,16,28
339,440,16,28
340,439,16,28
341,439,16,28
342,438,16,28
343,438,16,28
344,438,16,28
345,437,16,28
347,437,16,28
348,437,16,28
349,436,16,28
350,436,16,28
351,436,16,28
352,435,16,28
354,435,16,28
355,434,16,28
356,434,16,28
357,434,16,28
358,433,16,28
359,433,16,28
361,433,16,28
362,432,16,28
363,432,16,28
364,432,16,28
365,431,16,28
366,431,16,28
368,431,16,28
369,431,16,28
370,431,16,28
371,431,16,28
372,431,17,28
373,431,17,28
374,431,17,28
375,431,17,28
377,432,17,28
